Ux_top [mm],Uy_top left   [mm],Uy_top right [mm],Uy_top_mid [mm],Rot      [rad],Fx_top [kN],Fy_top [kN],M_top [kNm],Unnamed: 8,h [mm],l [mm],Estimated Time (s)
0.00092998,-0.01280946735631451,-0.0071008400885584156,-0.009955153722436463,2.283450907102438e-06,3.2112,22.7632,-8.54592,,,,210.81081081081084
0.001171,-0.013858961859872,-0.007574438799789639,-0.01071670032983082,2.513809224032944e-06,3.2082,23.2329,-8.522639999999999,,,,218.91891891891893
0.00092997,-0.01464195729533604,-0.008304736379194327,-0.011473346837265183,2.534888366456685e-06,3.2342,23.778,-8.491200000000001,,,,227.02702702702703
0.0019764,-0.01563695187807759,-0.008723335561864347,-0.01218014371997097,2.7654465264852968e-06,3.2362,24.242,-8.505600000000001,,,,235.13513513513516
0.00044795,-0.016417946129987038,-0.009137183342447073,-0.012777564736217054,2.912305115015986e-06,3.2642,24.762999999999998,-8.5224,,,,243.24324324324326
8.2632e-06,-0.017664437593101604,-0.009650031375320656,-0.01365723448421113,3.205762487112379e-06,3.2532,25.264000000000003,-8.424,,,,251.35135135135138
0.00044768,-0.017883436076169025,-0.009974980139958477,-0.013929208108063751,3.1633823744842194e-06,3.2722,25.790999999999997,-8.3688,,,,259.4594594594595
0.0012531,-0.01913842705761547,-0.010600477839931873,-0.014869452448773673,3.415179687073439e-06,3.2732,26.244,-8.4,,,,267.5675675675676
0.00097252,-0.02003091994096683,-0.01128307472748991,-0.01565699733422837,3.499138085390768e-06,3.3001,26.758000000000003,-8.4096,,,,275.6756756756757
0.0012135,-0.02102791185915965,-0.01191377190679036,-0.016470841882975006,3.645655980947716e-06,3.3091,27.264,-8.433599999999998,,,,283.7837837837838
0.0007345,-0.02238389989920685,-0.0125364686751316,-0.017460184287169226,3.9389724896301e-06,3.3291,27.776,-8.472000000000003,,,,291.89189189189193
0.00021294,-0.02337889069354049,-0.013007616169276983,-0.018193253431408735,4.148509809705402e-06,3.3351,28.288,-8.443200000000001,,,,300.0
0.00045393,-0.024322881719544685,-0.013691012552240468,-0.019006947135892578,4.252747666921687e-06,3.3361,28.824,-8.3664,,,,308.1081081081081
-0.0005496,-0.02573236762810078,-0.014261459382335582,-0.01999691350521818,4.588363298306078e-06,3.3371,29.301000000000002,-8.340000000000003,,,,316.21621621621625
-0.0010745,-0.02662185848473325,-0.01494195557823725,-0.020781907031485247,4.6719611625984e-06,3.3351,29.781000000000002,-8.248800000000003,,,,324.3243243243244
-0.0010745,-0.027512348843378803,-0.015570451742816,-0.021541400293097403,4.776758840225121e-06,3.3311,30.269,-8.181599999999998,,,,332.43243243243245
-0.0013154,-0.02808534258699338,-0.016090948561999233,-0.022088145574496308,4.797757609997659e-06,3.3321,30.740000000000002,-8.1216,,,,340.5405405405406
0.00016735,-0.028671335594618753,-0.016364446446229156,-0.022517891020423952,4.922755659355839e-06,3.3291,31.229,-8.037600000000005,,,,348.6486486486487
0.00045122,-0.029401827145199094,-0.016989942308699896,-0.023195884726949494,4.964753934599679e-06,3.3281,31.722,-7.977599999999999,,,,356.7567567567568
0.0006922,-0.030189317814646118,-0.01746443909407612,-0.02382687845436112,5.089951488227999e-06,3.3491,32.231,-8.085600000000003,,,,364.8648648648649
0.0010184,-0.031176805806361913,-0.018031935176822913,-0.024604370491592413,5.2579482518156e-06,3.372,32.787,-8.191200000000004,,,,372.972972972973
0.00078009,-0.03190679651037828,-0.01860443089622403,-0.025255613703301157,5.3209462456617005e-06,3.411,33.325,-8.436000000000005,,,,381.0810810810811
0.0010607,-0.03321327959770045,-0.0189159286620057,-0.026064604129853074,5.7189403742779e-06,3.4459,33.847,-8.671199999999999,,,,389.1891891891892
0.0021077,-0.03462676108265406,-0.01928192652937506,-0.02695434380601456,6.137933821311601e-06,3.4489,34.378,-8.635199999999998,,,,397.29729729729735
0.0018212,-0.035676246100823435,-0.01965142342706344,-0.027663834763943438,6.409929069503997e-06,3.433,34.868,-8.496000000000002,,,,405.4054054054054
0.0020595,-0.037041226433763605,-0.020125919837132848,-0.028583573135448227,6.766122638652302e-06,3.416,35.339999999999996,-8.347199999999999,,,,413.51351351351354
0.00077475,-0.03813720922626626,-0.02054191572529471,-0.029339562475780484,7.0381174003886204e-06,3.394,35.823,-8.186400000000003,,,,421.62162162162167
0.00048754,-0.0390821945591778,-0.0209634121538726,-0.0300228033565252,7.247512962122081e-06,3.381,36.325,-8.018399999999994,,,,429.72972972972974
0.0010124,-0.04012967812161075,-0.021434908313145755,-0.030782293217378253,7.477907923385999e-06,3.359,36.814,-7.8720000000000026,,,,437.83783783783787
0.00073181,-0.041074662675984176,-0.021803905024225974,-0.031439283850105075,7.70830306070328e-06,3.3521,37.312,-7.727999999999997,,,,445.945945945946
0.0010157,-0.0421716445108125,-0.0222729009890235,-0.032222272749918,7.959497408715599e-06,3.3381,37.774,-7.598400000000001,,,,454.05405405405406
0.00021023,-0.04311662819370153,-0.022641897476806533,-0.03287926283525403,8.189892286757999e-06,3.3361,38.263,-7.567199999999996,,,,462.1621621621622
0.00049352,-0.04478909882885034,-0.023109893234292397,-0.033949496031571366,8.671682237823178e-06,3.3441,38.756,-7.608000000000004,,,,470.2702702702703
-0.00055292,-0.04604557601432091,-0.023580888848431902,-0.034813232431376406,8.985874866355604e-06,3.3531,39.272000000000006,-7.627200000000002,,,,478.37837837837844
0.00025316,-0.047509548572797995,-0.023996884841616193,-0.035753216707207096,9.405065492472721e-06,3.36,39.804,-7.684800000000004,,,,486.4864864864865
0.00126,-0.048875522544844806,-0.02463037898521395,-0.03675295076502938,9.698057423852343e-06,3.371,40.336,-7.689600000000001,,,,494.59459459459464
0.001019,-0.05002499969754215,-0.024994375262666152,-0.03750968748010415,1.0012249773950399e-05,3.364,40.837,-7.639199999999999,,,,502.70270270270277
0.0017816,-0.051126977830568465,-0.02546837090592126,-0.03829767436824486,1.0263442769858883e-05,3.361,41.324,-7.612800000000001,,,,510.81081081081084
0.00049356,-0.0522764534717745,-0.025937365497939045,-0.039106909484856775,1.0535635189534183e-05,3.359,41.793000000000006,-7.591200000000001,,,,518.918918918919
-0.0002723,-0.05332143136769266,-0.026300861666309256,-0.039811146517000955,1.080822788055336e-05,3.3501,42.266999999999996,-7.543199999999993,,,,527.0270270270271
-0.00075427,-0.05410191469768339,-0.026766356824680194,-0.040434135761181794,1.0934223149201278e-05,3.3441,42.745999999999995,-7.488000000000002,,,,535.1351351351352
-0.00099526,-0.0551473919377277,-0.027234851849063497,-0.0411911218933956,1.116501603546568e-05,3.3451,43.241,-7.519200000000006,,,,543.2432432432433
-0.00023272,-0.05567288010311127,-0.02755184818829092,-0.041612364145701096,1.124841276592814e-05,3.361,43.785,-7.605600000000001,,,,551.3513513513514
-0.00027532,-0.05641086356369377,-0.02781984522468022,-0.042115354394186996,1.143640733560542e-05,3.371,44.294,-7.694399999999998,,,,559.4594594594595
0.00077172,-0.0569868506040791,-0.0280293429885363,-0.042508096796307696,1.1583003046217118e-05,3.395,44.839,-7.8216,,,,567.5675675675676
0.0017327,-0.0574158412695554,-0.02830184039980906,-0.04285884083468223,1.1645600347898536e-05,3.394,45.343,-7.821599999999992,,,,575.6756756756757
0.0017789,-0.05814282449957859,-0.02871483572265204,-0.04342883011111531,1.177119551077062e-05,3.39,45.827,-7.773600000000002,,,,583.7837837837839
0.0020199,-0.0588263086928134,-0.029136331028872753,-0.043981319860843075,1.1875991065576257e-05,3.376,46.309,-7.682400000000001,,,,591.891891891892
0.00049366,-0.05981578444600559,-0.029810822309595836,-0.04481330337780071,1.2001984854563901e-05,3.367,46.812,-7.579199999999994,,,,600.0
-0.0015999,-0.0608622596509822,-0.030282317105974753,-0.04557228837847847,1.2231977018002978e-05,3.3501,47.298,-7.502400000000002,,,,608.1081081081081
