time_s,max_opening_m
1.9900,8.49312496e-04
1.9950,8.49452528e-04
2.0000,8.49407568e-04
2.0050,8.49230918e-04
2.0100,8.49072840e-04
2.0150,8.49008185e-04
2.0200,8.49093677e-04
2.0250,8.49268612e-04
2.0300,8.49333924e-04
2.0350,8.49169313e-04
2.0400,8.48658687e-04
2.0450,8.47878879e-04
2.0500,8.47130111e-04
2.0550,8.46639167e-04
2.0600,8.46753929e-04
2.0650,8.47500988e-04
2.0700,8.48695165e-04
2.0750,8.50086249e-04
2.0800,8.51187462e-04
2.0850,8.51832157e-04
2.0900,8.51903940e-04
2.0950,8.51517916e-04
2.1000,8.51005998e-04
2.1050,8.50565766e-04
2.1100,8.50461791e-04
2.1150,8.50693290e-04
2.1200,8.51110115e-04
2.1250,8.51551492e-04
2.1300,8.51739533e-04
2.1350,8.51598604e-04
2.1400,8.51093849e-04
2.1450,8.50294830e-04
2.1500,8.49385138e-04
2.1550,8.48468542e-04
2.1600,8.47695818e-04
2.1650,8.47081783e-04
2.1700,8.46599064e-04
2.1750,8.46207673e-04
2.1800,8.45870114e-04
2.1850,8.45605398e-04
2.1900,8.45477530e-04
2.1950,8.45523326e-04
2.2000,8.45781426e-04
2.2050,8.46244345e-04
2.2100,8.46871642e-04
2.2150,8.47638147e-04
2.2200,8.48487962e-04
2.2250,8.49396404e-04
2.2300,8.50313456e-04
2.2350,8.51213460e-04
2.2400,8.52024845e-04
2.2450,8.52699633e-04
2.2500,8.53146855e-04
2.2550,8.53335638e-04
2.2600,8.53246631e-04
2.2650,8.52899651e-04
2.2700,8.52358646e-04
2.2750,8.51676382e-04
2.2800,8.50957079e-04
2.2850,8.50250081e-04
2.2900,8.49603993e-04
2.2950,8.49002324e-04
2.3000,8.48376289e-04
2.3050,8.47690004e-04
2.3100,8.46930406e-04
2.3150,8.46137249e-04
2.3200,8.45456135e-04
2.3250,8.44985871e-04
2.3300,8.44895003e-04
2.3350,8.45218518e-04
2.3400,8.45918344e-04
2.3450,8.46903141e-04
2.3500,8.47967796e-04
2.3550,8.49016979e-04
2.3600,8.49911730e-04
2.3650,8.50625042e-04
2.3700,8.51162018e-04
2.3750,8.51561737e-04
2.3800,8.51919519e-04
2.3850,8.52275984e-04
2.3900,8.52634088e-04
2.3950,8.52932916e-04
2.4000,8.53002497e-04
2.4050,8.52750510e-04
2.4100,8.52066413e-04
2.4150,8.50974013e-04
2.4200,8.49610646e-04
2.4250,8.48115146e-04
2.4300,8.46771964e-04
2.4350,8.45703782e-04
2.4400,8.45044548e-04
2.4450,8.44773663e-04
2.4500,8.44779493e-04
2.4550,8.44976026e-04
2.4600,8.45235098e-04
2.4650,8.45531770e-04
2.4700,8.45866246e-04
2.4750,8.46274031e-04
